<name3> = <val6>	<name3> に <val6> を入れる
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に指定して文字列 <name2> を分割した結果をリストに置き換え、 <name1> とする
<name3> = <name4> . split ( <name1> )	<name1> を区切り文字に指定して文字列 <name4> を分割した結果をリストに置き換えられた結果を <name3> とする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に指定して文字列 <name2> を分割した結果をリストに置き換えられた結果を <name1> とする
<name6> = <name1> . split ( <name2> )	<name2> を区切り文字に設定して <name1> 文字列を分割した結果をリスト型に直して、 <name6> にする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> 文字列を分割した結果をリスト型に直して、 <name1> にする
<name3> = <name1> . split ( <name5> )	<name5> を区切り文字に設定して <name1> 文字列を分割した結果をリスト型に直された結果を <name3> に代入する
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> 文字列を分割した結果をリスト型に直された結果を <name1> に代入する
<name2> = <name4> . split ( <name3> )	<name3> を区切り文字に設定して <name4> を分割した結果をリストにし、 <name2> とする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> を分割した結果をリストにし、 <name1> とする
<name6> = <name3> . split ( <name5> )	<name5> を区切り文字に設定して <name3> を分割した結果をリストにした結果を <name6> とする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> を分割した結果をリストにした結果を <name1> とする
<name2> = <name1> . split ( <name3> )	<name3> を区切り文字に設定して文字列 <name1> を分割した結果をリスト型に直し、 <name2> にする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して文字列 <name2> を分割した結果をリスト型に直し、 <name1> にする
<name3> = <name6> . split ( <name5> )	<name5> を区切り文字に設定して文字列 <name6> を分割した結果をリスト型に直した結果を <name3> とする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して文字列 <name2> を分割した結果をリスト型に直した結果を <name1> とする
<name2> = <name6> . split ( <name4> )	<name4> を区切り文字に指定して <name6> を分割した結果をリスト型に置き換え、 <name2> にする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に指定して <name2> を分割した結果をリスト型に置き換え、 <name1> にする
<name6> = <name2> . split ( <name4> )	<name4> を区切り文字に指定して <name2> を分割した結果をリスト型に置き換えた結果を <name6> に代入する
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に指定して <name2> を分割した結果をリスト型に置き換えた結果を <name1> に代入する
<name5> = <name6> . split ( <name1> )	<name1> を区切り文字に設定して <name6> 文字列を分割した結果をリストに置き換え、 <name5> とする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> 文字列を分割した結果をリストに置き換え、 <name1> とする
<name5> = <name6> . split ( <name1> )	<name1> を区切り文字に設定して <name6> 文字列を分割した結果をリストに置き換えられた結果を <name5> にする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> 文字列を分割した結果をリストに置き換えられた結果を <name1> にする
<name1> = <name4> . split ( <name2> )	<name2> を区切り文字に設定して <name4> 文字列を分割した結果をリスト型にして返して、 <name1> とする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> 文字列を分割した結果をリスト型にして返して、 <name1> とする
<name5> = <name1> . split ( <name4> )	<name4> を区切り文字に設定して <name1> 文字列を分割した結果をリスト型にして返された結果を <name5> とする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> 文字列を分割した結果をリスト型にして返された結果を <name1> とする
<name3> = <name5> . split ( <name1> )	<name1> を区切り文字に設定して <name5> を分割した結果をリストに置き換え、 <name3> にする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> を分割した結果をリストに置き換え、 <name1> にする
<name4> = <name2> . split ( <name1> )	<name1> を区切り文字に設定して <name2> を分割した結果をリストに置き換えられた結果を <name4> に代入する
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字に設定して <name2> を分割した結果をリストに置き換えられた結果を <name1> に代入する
<name4> . split ( <name1> , <val2> )	<name4> を <name1> で最大分割数 <val2> まで分割した文字列のリスト
<name1> . split ( <name2> , <val3> )	<name1> を <name2> で最大分割数 <val3> まで分割した文字列のリスト
<name2> . split ( <name4> , <val1> )	<name2> 文字列を <name4> で最大分割数 <val1> まで分割したデータのリスト
<name1> . split ( <name2> , <val3> )	<name1> 文字列を <name2> で最大分割数 <val3> まで分割したデータのリスト
<name6> . split ( <name5> , <val4> )	<name6> を <name5> で最大分割数 <val4> まで分割した値のリスト
<name1> . split ( <name2> , <val3> )	<name1> を <name2> で最大分割数 <val3> まで分割した値のリスト
<name3> . split ( <name6> , <val4> )	文字列 <name3> を <name6> で最大分割数 <val4> まで分割した値のリスト
<name1> . split ( <name2> , <val3> )	文字列 <name1> を <name2> で最大分割数 <val3> まで分割した値のリスト
<name1> . split ( <name4> , <val2> )	<name1> 文字列を <name4> で最大分割数 <val2> まで分割した値のリスト
<name1> . split ( <name2> , <val3> )	<name1> 文字列を <name2> で最大分割数 <val3> まで分割した値のリスト
<name2> . split ( <name6> , <val3> )	<name2> を <name6> で最大分割数 <val3> まで分割したデータのリスト
<name1> . split ( <name2> , <val3> )	<name1> を <name2> で最大分割数 <val3> まで分割したデータのリスト
<name6> . split ( <name4> , <val1> )	文字列 <name6> を <name4> で最大分割数 <val1> まで分割した文字列のリスト
<name1> . split ( <name2> , <val3> )	文字列 <name1> を <name2> で最大分割数 <val3> まで分割した文字列のリスト
<name1> . split ( <name4> , <val5> )	文字列 <name1> を <name4> で最大分割数 <val5> まで分割したデータのリスト
<name1> . split ( <name2> , <val3> )	文字列 <name1> を <name2> で最大分割数 <val3> まで分割したデータのリスト
<name1> . split ( <name2> , <val3> )	<name1> 文字列を <name2> で最大分割数 <val3> まで分割した文字列のリスト
<name2> = <name3> . split ( <name1> , <val6> )	<name3> を <name1> で最大分割数 <val6> まで分割した文字列のリストを <name2> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name2> を <name3> で最大分割数 <val4> まで分割した文字列のリストを <name1> に代入する
<name4> = <name6> . split ( <name2> , <val1> )	文字列 <name6> を <name2> で最大分割数 <val1> まで分割した値のリストを <name4> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	文字列 <name2> を <name3> で最大分割数 <val4> まで分割した値のリストを <name1> に代入する
<name2> = <name5> . split ( <name1> , <val4> )	<name5> 文字列を <name1> で最大分割数 <val4> まで分割した値のリストを <name2> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name2> 文字列を <name3> で最大分割数 <val4> まで分割した値のリストを <name1> とする
<name5> = <name1> . split ( <name4> , <val2> )	<name1> 文字列を <name4> で最大分割数 <val2> まで分割したデータのリストを <name5> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name2> 文字列を <name3> で最大分割数 <val4> まで分割したデータのリストを <name1> に代入する
<name5> = <name2> . split ( <name6> , <val4> )	文字列 <name2> を <name6> で最大分割数 <val4> まで分割した文字列のリストを <name5> とする
<name1> = <name2> . split ( <name3> , <val4> )	文字列 <name2> を <name3> で最大分割数 <val4> まで分割した文字列のリストを <name1> とする
<name4> = <name2> . split ( <name3> , <val5> )	<name2> 文字列を <name3> で最大分割数 <val5> まで分割した文字列のリストを <name4> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name2> 文字列を <name3> で最大分割数 <val4> まで分割した文字列のリストを <name1> とする
<name4> = <name5> . split ( <name2> , <val6> )	<name5> を <name2> で最大分割数 <val6> まで分割した値のリストを <name4> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name2> を <name3> で最大分割数 <val4> まで分割した値のリストを <name1> に代入する
<name6> = <name5> . split ( <name1> , <val2> )	文字列 <name5> を <name1> で最大分割数 <val2> まで分割したデータのリストを <name6> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	文字列 <name2> を <name3> で最大分割数 <val4> まで分割したデータのリストを <name1> に代入する
<name6> = <name4> . split ( <name1> , <val5> )	<name4> を <name1> で最大分割数 <val5> まで分割したデータのリストを <name6> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name2> を <name3> で最大分割数 <val4> まで分割したデータのリストを <name1> とする
<name3> . split ( <name2> , <val5> )	<name3> を <name2> で最大分割数 <val5> まで分割してリストを返す
<name1> . split ( <name2> , <val3> )	<name1> を <name2> で最大分割数 <val3> まで分割してリストを返す
<name4> . split ( <name6> , <val3> )	文字列 <name4> を <name6> で最大分割数 <val3> まで分割してリストを返す
<name1> . split ( <name2> , <val3> )	文字列 <name1> を <name2> で最大分割数 <val3> まで分割してリストを返す
<name6> . split ( <name3> , <val4> )	<name6> 文字列を <name3> で最大分割数 <val4> まで分割してリストを返す
<name1> . split ( <name2> , <val3> )	<name1> 文字列を <name2> で最大分割数 <val3> まで分割してリストを返す
<name1> = <name5> . split ( <name4> , <val3> )	<name5> を <name4> で最大分割数 <val3> まで分割してリストを返し、 <name1> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name2> を <name3> で最大分割数 <val4> まで分割してリストを返し、 <name1> に代入する
<name1> = <name3> . split ( <name6> , <val4> )	<name3> を <name6> で最大分割数 <val4> まで分割してリストを返した結果を <name1> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name2> を <name3> で最大分割数 <val4> まで分割してリストを返した結果を <name1> とする
<name4> = <name5> . split ( <name2> , <val6> )	<name5> 文字列を <name2> で最大分割数 <val6> まで分割してリストを返し、 <name4> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name2> 文字列を <name3> で最大分割数 <val4> まで分割してリストを返し、 <name1> に代入する
<name3> = <name4> . split ( <name1> , <val6> )	<name4> 文字列を <name1> で最大分割数 <val6> まで分割してリストを返した結果を <name3> にする
<name1> = <name2> . split ( <name3> , <val4> )	<name2> 文字列を <name3> で最大分割数 <val4> まで分割してリストを返した結果を <name1> にする
<name6> = <name1> . split ( <name3> , <val4> )	文字列 <name1> を <name3> で最大分割数 <val4> まで分割してリストを返して、 <name6> にする
<name1> = <name2> . split ( <name3> , <val4> )	文字列 <name2> を <name3> で最大分割数 <val4> まで分割してリストを返して、 <name1> にする
<name5> = <name3> . split ( <name1> , <val6> )	文字列 <name3> を <name1> で最大分割数 <val6> まで分割してリストを返した結果を <name5> にする
<name1> = <name2> . split ( <name3> , <val4> )	文字列 <name2> を <name3> で最大分割数 <val4> まで分割してリストを返した結果を <name1> にする
<name6> . split ( <name1> , <val5> )	<name1> を区切り文字、最大分割数を <val5> として <name6> を分割した結果をリスト型にして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として <name1> を分割した結果をリスト型にして返す
<name2> . split ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> として文字列 <name2> を分割した結果をリスト型にして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として文字列 <name1> を分割した結果をリスト型にして返す
<name5> . split ( <name6> , <val1> )	<name6> を区切り文字、最大分割数を <val1> として <name5> 文字列を分割した結果をリストにして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として <name1> 文字列を分割した結果をリストにして返す
<name2> . split ( <name6> , <val1> )	<name6> を区切り文字、最大分割数を <val1> に指定して <name2> を分割した結果をリスト型に直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> を分割した結果をリスト型に直す
<name5> . split ( <name4> , <val1> )	<name4> を区切り文字、最大分割数を <val1> に設定して <name5> 文字列を分割した結果をリスト型にして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> 文字列を分割した結果をリスト型にして返す
<name5> . split ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> に設定して <name5> を分割した結果をリスト型にして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> を分割した結果をリスト型にして返す
<name3> . split ( <name6> , <val4> )	<name6> を区切り文字、最大分割数を <val4> に設定して文字列 <name3> を分割した結果をリストにして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して文字列 <name1> を分割した結果をリストにして返す
<name2> . split ( <name6> , <val3> )	<name6> を区切り文字、最大分割数を <val3> に設定して <name2> 文字列を分割した結果をリストにして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> 文字列を分割した結果をリストにして返す
<name3> . split ( <name4> , <val6> )	<name4> を区切り文字、最大分割数を <val6> に指定して <name3> を分割した結果をリスト型にする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> を分割した結果をリスト型にする
<name3> . split ( <name2> , <val5> )	<name2> を区切り文字、最大分割数を <val5> に設定して <name3> を分割した結果をリスト型にする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> を分割した結果をリスト型にする
<name2> . split ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> に指定して <name2> 文字列を分割した結果をリスト型にする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> 文字列を分割した結果をリスト型にする
<name2> . split ( <name4> , <val6> )	<name4> を区切り文字、最大分割数を <val6> に指定して文字列 <name2> を分割した結果をリストに直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して文字列 <name1> を分割した結果をリストに直す
<name2> . split ( <name1> , <val5> )	<name1> を区切り文字、最大分割数を <val5> に指定して文字列 <name2> を分割した結果をリストにする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して文字列 <name1> を分割した結果をリストにする
<name4> . split ( <name5> , <val3> )	<name5> を区切り文字、最大分割数を <val3> に指定して <name4> を分割した結果をリストにする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> を分割した結果をリストにする
<name2> . split ( <name4> , <val6> )	<name4> を区切り文字、最大分割数を <val6> として <name2> 文字列を分割した結果をリスト型にして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として <name1> 文字列を分割した結果をリスト型にして返す
<name2> . split ( <name6> , <val3> )	<name6> を区切り文字、最大分割数を <val3> として <name2> を分割した結果をリストにして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として <name1> を分割した結果をリストにして返す
<name2> . split ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> に設定して <name2> を分割した結果をリスト型に置き換える
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> を分割した結果をリスト型に置き換える
<name5> . split ( <name4> , <val1> )	<name4> を区切り文字、最大分割数を <val1> として文字列 <name5> を分割した結果をリストにして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として文字列 <name1> を分割した結果をリストにして返す
<name3> . split ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> に指定して <name3> 文字列を分割した結果をリストに直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> 文字列を分割した結果をリストに直す
<name3> . split ( <name2> , <val1> )	<name2> を区切り文字、最大分割数を <val1> に設定して文字列 <name3> を分割した結果をリスト型にして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して文字列 <name1> を分割した結果をリスト型にして返す
<name5> . split ( <name2> , <val1> )	<name2> を区切り文字、最大分割数を <val1> に指定して <name5> 文字列を分割した結果をリストにする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> 文字列を分割した結果をリストにする
<name3> . split ( <name2> , <val6> )	<name2> を区切り文字、最大分割数を <val6> に設定して <name3> を分割した結果をリストに直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> を分割した結果をリストに直す
<name2> . split ( <name4> , <val5> )	<name4> を区切り文字、最大分割数を <val5> に設定して文字列 <name2> を分割した結果をリスト型に直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して文字列 <name1> を分割した結果をリスト型に直す
<name1> . split ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> に指定して <name1> 文字列を分割した結果をリストに置き換える
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> 文字列を分割した結果をリストに置き換える
<name6> . split ( <name2> , <val4> )	<name2> を区切り文字、最大分割数を <val4> に指定して文字列 <name6> を分割した結果をリスト型に直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して文字列 <name1> を分割した結果をリスト型に直す
<name5> . split ( <name4> , <val6> )	<name4> を区切り文字、最大分割数を <val6> に設定して <name5> 文字列を分割した結果をリストに直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> 文字列を分割した結果をリストに直す
<name4> . split ( <name1> , <val3> )	<name1> を区切り文字、最大分割数を <val3> に指定して文字列 <name4> を分割した結果をリスト型にする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して文字列 <name1> を分割した結果をリスト型にする
<name6> . split ( <name1> , <val4> )	<name1> を区切り文字、最大分割数を <val4> に設定して <name6> を分割した結果をリストにして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> を分割した結果をリストにして返す
<name3> . split ( <name4> , <val2> )	<name4> を区切り文字、最大分割数を <val2> に設定して <name3> を分割した結果をリストにする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> を分割した結果をリストにする
<name6> . split ( <name2> , <val1> )	<name2> を区切り文字、最大分割数を <val1> に設定して <name6> 文字列を分割した結果をリストにする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> 文字列を分割した結果をリストにする
<name3> . split ( <name5> , <val6> )	<name5> を区切り文字、最大分割数を <val6> に設定して <name3> を分割した結果をリスト型に直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> を分割した結果をリスト型に直す
<name5> . split ( <name6> , <val2> )	<name6> を区切り文字、最大分割数を <val2> に指定して <name5> を分割した結果をリストに置き換える
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> を分割した結果をリストに置き換える
<name5> . split ( <name1> , <val4> )	<name1> を区切り文字、最大分割数を <val4> に設定して <name5> 文字列を分割した結果をリスト型に置き換える
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> 文字列を分割した結果をリスト型に置き換える
<name1> . split ( <name3> , <val5> )	<name3> を区切り文字、最大分割数を <val5> に指定して <name1> を分割した結果をリストに直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> を分割した結果をリストに直す
<name2> . split ( <name6> , <val1> )	<name6> を区切り文字、最大分割数を <val1> に指定して <name2> 文字列を分割した結果をリスト型に直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> 文字列を分割した結果をリスト型に直す
<name1> . split ( <name3> , <val5> )	<name3> を区切り文字、最大分割数を <val5> に設定して文字列 <name1> を分割した結果をリストにする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して文字列 <name1> を分割した結果をリストにする
<name1> . split ( <name6> , <val4> )	<name6> を区切り文字、最大分割数を <val4> に設定して文字列 <name1> を分割した結果をリストに置き換える
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して文字列 <name1> を分割した結果をリストに置き換える
<name1> . split ( <name4> , <val2> )	<name4> を区切り文字、最大分割数を <val2> に指定して <name1> 文字列を分割した結果をリスト型に置き換える
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> 文字列を分割した結果をリスト型に置き換える
<name1> . split ( <name4> , <val5> )	<name4> を区切り文字、最大分割数を <val5> に設定して <name1> 文字列を分割した結果をリスト型に直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> 文字列を分割した結果をリスト型に直す
<name3> . split ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> に指定して <name3> を分割した結果をリスト型に置き換える
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name1> を分割した結果をリスト型に置き換える
<name4> . split ( <name6> , <val2> )	<name6> を区切り文字、最大分割数を <val2> に指定して文字列 <name4> を分割した結果をリスト型に置き換える
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して文字列 <name1> を分割した結果をリスト型に置き換える
<name6> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に設定して <name6> 文字列を分割した結果をリスト型にする
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name1> 文字列を分割した結果をリスト型にする
<name1> . split ( <name4> , <val5> )	<name4> を区切り文字、最大分割数を <val5> に設定して文字列 <name1> を分割した結果をリストに直す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して文字列 <name1> を分割した結果をリストに直す
<name1> . split ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> に指定して文字列 <name1> を分割した結果をリストに置き換える
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して文字列 <name1> を分割した結果をリストに置き換える
<name4> = <name5> . split ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> として <name5> を分割した結果をリスト型にして返して、 <name4> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> を分割した結果をリスト型にして返して、 <name1> とする
<name6> = <name5> . split ( <name4> , <val3> )	<name4> を区切り文字、最大分割数を <val3> として <name5> を分割した結果をリスト型にして返した結果を <name6> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> を分割した結果をリスト型にして返した結果を <name1> とする
<name3> = <name5> . split ( <name2> , <val4> )	<name2> を区切り文字、最大分割数を <val4> に設定して文字列 <name5> を分割した結果をリスト型にして返し、 <name3> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に設定して文字列 <name2> を分割した結果をリスト型にして返し、 <name1> とする
<name3> = <name1> . split ( <name5> , <val4> )	<name5> を区切り文字、最大分割数を <val4> に設定して文字列 <name1> を分割した結果をリスト型にして返された結果を <name3> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に設定して文字列 <name2> を分割した結果をリスト型にして返された結果を <name1> に代入する
<name6> = <name5> . split ( <name1> , <val2> )	<name1> を区切り文字、最大分割数を <val2> として <name5> 文字列を分割した結果をリストにして返し、 <name6> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> 文字列を分割した結果をリストにして返し、 <name1> とする
<name1> = <name6> . split ( <name4> , <val3> )	<name4> を区切り文字、最大分割数を <val3> として <name6> 文字列を分割した結果をリストにして返された結果を <name1> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> 文字列を分割した結果をリストにして返された結果を <name1> に代入する
<name5> = <name3> . split ( <name4> , <val6> )	<name4> を区切り文字、最大分割数を <val6> に指定して文字列 <name3> を分割した結果をリストに置き換え、 <name5> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に指定して文字列 <name2> を分割した結果をリストに置き換え、 <name1> に代入する
<name2> = <name5> . split ( <name1> , <val4> )	<name1> を区切り文字、最大分割数を <val4> に指定して文字列 <name5> を分割した結果をリストに置き換えた結果を <name2> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に指定して文字列 <name2> を分割した結果をリストに置き換えた結果を <name1> に代入する
<name1> = <name5> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として <name5> を分割した結果をリストにして返して、 <name1> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> を分割した結果をリストにして返して、 <name1> に代入する
<name6> = <name5> . split ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> として <name5> を分割した結果をリストにして返した結果を <name6> にする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> を分割した結果をリストにして返した結果を <name1> にする
<name6> = <name4> . split ( <name2> , <val5> )	<name2> を区切り文字、最大分割数を <val5> に設定して <name4> を分割した結果をリスト型にして返し、 <name6> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に設定して <name2> を分割した結果をリスト型にして返し、 <name1> に代入する
<name6> = <name4> . split ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> に設定して <name4> を分割した結果をリスト型にして返された結果を <name6> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に設定して <name2> を分割した結果をリスト型にして返された結果を <name1> とする
<name1> = <name5> . split ( <name4> , <val3> )	<name4> を区切り文字、最大分割数を <val3> として文字列 <name5> を分割した結果をリスト型にして返して、 <name1> にする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として文字列 <name2> を分割した結果をリスト型にして返して、 <name1> にする
<name4> = <name6> . split ( <name5> , <val3> )	<name5> を区切り文字、最大分割数を <val3> として文字列 <name6> を分割した結果をリスト型にして返された結果を <name4> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として文字列 <name2> を分割した結果をリスト型にして返された結果を <name1> とする
<name1> = <name3> . split ( <name5> , <val6> )	<name5> を区切り文字、最大分割数を <val6> に指定して <name3> 文字列を分割した結果をリスト型にし、 <name1> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に指定して <name2> 文字列を分割した結果をリスト型にし、 <name1> に代入する
<name1> = <name5> . split ( <name6> , <val3> )	<name6> を区切り文字、最大分割数を <val3> に指定して <name5> 文字列を分割した結果をリスト型にされた結果を <name1> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に指定して <name2> 文字列を分割した結果をリスト型にされた結果を <name1> とする
<name6> = <name4> . split ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> に指定して文字列 <name4> を分割した結果をリスト型にし、 <name6> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に指定して文字列 <name2> を分割した結果をリスト型にし、 <name1> とする
<name6> = <name1> . split ( <name5> , <val4> )	<name5> を区切り文字、最大分割数を <val4> に指定して文字列 <name1> を分割した結果をリスト型にされた結果を <name6> にする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に指定して文字列 <name2> を分割した結果をリスト型にされた結果を <name1> にする
<name5> = <name1> . split ( <name4> , <val6> )	<name4> を区切り文字、最大分割数を <val6> に指定して <name1> を分割した結果をリスト型に直して、 <name5> にする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に指定して <name2> を分割した結果をリスト型に直して、 <name1> にする
<name2> = <name1> . split ( <name5> , <val6> )	<name5> を区切り文字、最大分割数を <val6> に指定して <name1> を分割した結果をリスト型に直した結果を <name2> にする
