<name4> = <val1>	<name4> に <val1> を代入する
<name1> . split ( )	空白を区切り文字として <name1> を分割した結果をリスト型にして返す
<name6> = <name1> . split ( )	空白を区切り文字として <name1> を分割した結果をリスト型にして返し、 <name6> にする
<name1> = <name2> . split ( )	空白を区切り文字として <name2> を分割した結果をリスト型にして返し、 <name1> にする
<name4> = <name1> . split ( )	空白を区切り文字として <name1> を分割した結果をリスト型にして返した結果を <name4> とする
<name1> = <name2> . split ( )	空白を区切り文字として <name2> を分割した結果をリスト型にして返した結果を <name1> とする
<name6> . split ( <name2> )	<name6> を <name2> で分割した文字列のリスト
<name1> . split ( <name2> )	<name1> を <name2> で分割した文字列のリスト
<name1> = <name4> . split ( <name3> )	<name4> を <name3> で分割した文字列のリストを <name1> にする
<name1> = <name2> . split ( <name3> )	<name2> を <name3> で分割した文字列のリストを <name1> にする
<name5> . split ( <name4> )	<name5> を <name4> で分割してリストを返す
<name1> . split ( <name2> )	<name1> を <name2> で分割してリストを返す
<name5> = <name4> . split ( <name1> )	<name4> を <name1> で分割してリストを返し、 <name5> にする
<name1> = <name2> . split ( <name3> )	<name2> を <name3> で分割してリストを返し、 <name1> にする
<name4> = <name6> . split ( <name5> )	<name6> を <name5> で分割してリストを返した結果を <name4> とする
<name1> = <name2> . split ( <name3> )	<name2> を <name3> で分割してリストを返した結果を <name1> とする
<name6> . split ( <name3> )	<name3> を区切り文字として <name6> を分割した結果をリスト型にして返す
<name1> . split ( <name2> )	<name2> を区切り文字として <name1> を分割した結果をリスト型にして返す
<name2> = <name5> . split ( <name6> )	<name6> を区切り文字として <name5> を分割した結果をリスト型にして返して、 <name2> に代入する
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字として <name2> を分割した結果をリスト型にして返して、 <name1> に代入する
<name6> = <name3> . split ( <name4> )	<name4> を区切り文字として <name3> を分割した結果をリスト型にして返した結果を <name6> にする
<name1> = <name2> . split ( <name3> )	<name3> を区切り文字として <name2> を分割した結果をリスト型にして返した結果を <name1> にする
<name4> . split ( <name6> , <val2> )	<name4> を <name6> で最大分割数 <val2> まで分割した文字列のリスト
<name1> . split ( <name2> , <val3> )	<name1> を <name2> で最大分割数 <val3> まで分割した文字列のリスト
<name1> = <name6> . split ( <name3> , <val4> )	<name6> を <name3> で最大分割数 <val4> まで分割した文字列のリストを <name1> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name2> を <name3> で最大分割数 <val4> まで分割した文字列のリストを <name1> に代入する
<name3> . split ( <name4> , <val2> )	<name3> を <name4> で最大分割数 <val2> まで分割してリストを返す
<name1> . split ( <name2> , <val3> )	<name1> を <name2> で最大分割数 <val3> まで分割してリストを返す
<name4> = <name5> . split ( <name1> , <val2> )	<name5> を <name1> で最大分割数 <val2> まで分割してリストを返して、 <name4> にする
<name1> = <name2> . split ( <name3> , <val4> )	<name2> を <name3> で最大分割数 <val4> まで分割してリストを返して、 <name1> にする
<name6> = <name2> . split ( <name3> , <val4> )	<name2> を <name3> で最大分割数 <val4> まで分割してリストを返した結果を <name6> に代入する
<name1> = <name2> . split ( <name3> , <val4> )	<name2> を <name3> で最大分割数 <val4> まで分割してリストを返した結果を <name1> に代入する
<name3> . split ( <name6> , <val1> )	<name6> を区切り文字、最大分割数を <val1> として <name3> を分割した結果をリスト型にして返す
<name1> . split ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として <name1> を分割した結果をリスト型にして返す
<name1> = <name4> . split ( <name3> , <val2> )	<name3> を区切り文字、最大分割数を <val2> として <name4> を分割した結果をリスト型にして返し、 <name1> にする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> を分割した結果をリスト型にして返し、 <name1> にする
<name6> = <name5> . split ( <name1> , <val4> )	<name1> を区切り文字、最大分割数を <val4> として <name5> を分割した結果をリスト型にして返した結果を <name6> とする
<name1> = <name2> . split ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> を分割した結果をリスト型にして返した結果を <name1> とする
<name4> . rsplit ( )	<name4> を末尾から空白で分割した文字列のリスト
<name1> . rsplit ( )	<name1> を末尾から空白で分割した文字列のリスト
<name4> = <name3> . rsplit ( )	<name3> を最後から空白で分割した文字列のリストを <name4> とする
<name1> = <name2> . rsplit ( )	<name2> を最後から空白で分割した文字列のリストを <name1> とする
<name2> . rsplit ( )	<name2> を末尾から空白で分割してリストを返す
<name1> . rsplit ( )	<name1> を末尾から空白で分割してリストを返す
<name4> = <name2> . rsplit ( )	<name2> を末尾から空白で分割してリストを返し、 <name4> とする
<name1> = <name2> . rsplit ( )	<name2> を末尾から空白で分割してリストを返し、 <name1> とする
<name2> = <name4> . rsplit ( )	<name4> を末尾から空白で分割してリストを返した結果を <name2> に代入する
<name1> = <name2> . rsplit ( )	<name2> を末尾から空白で分割してリストを返した結果を <name1> に代入する
<name3> . rsplit ( )	空白を区切り文字として <name3> を末尾から分割してリスト型にして返す
<name1> . rsplit ( )	空白を区切り文字として <name1> を末尾から分割してリスト型にして返す
<name4> = <name5> . rsplit ( )	空白を区切り文字として <name5> を最後から分割してリスト型にして返して、 <name4> に代入する
<name1> = <name2> . rsplit ( )	空白を区切り文字として <name2> を最後から分割してリスト型にして返して、 <name1> に代入する
<name2> = <name4> . rsplit ( )	空白を区切り文字として <name4> を最後から分割してリスト型にして返された結果を <name2> とする
<name1> = <name2> . rsplit ( )	空白を区切り文字として <name2> を最後から分割してリスト型にして返された結果を <name1> とする
<name2> . rsplit ( <name1> )	<name2> を末尾から <name1> で分割した文字列のリスト
<name1> . rsplit ( <name2> )	<name1> を末尾から <name2> で分割した文字列のリスト
<name1> = <name4> . rsplit ( <name2> )	<name4> を末尾から <name2> で分割した文字列のリストを <name1> とする
<name1> = <name2> . rsplit ( <name3> )	<name2> を末尾から <name3> で分割した文字列のリストを <name1> とする
<name6> . rsplit ( <name4> )	<name6> を末尾から <name4> で分割してリストを返す
<name1> . rsplit ( <name2> )	<name1> を末尾から <name2> で分割してリストを返す
<name6> = <name1> . rsplit ( <name3> )	<name1> を末尾から <name3> で分割してリストを返し、 <name6> に代入する
<name1> = <name2> . rsplit ( <name3> )	<name2> を末尾から <name3> で分割してリストを返し、 <name1> に代入する
<name2> = <name1> . rsplit ( <name3> )	<name1> を末尾から <name3> で分割してリストを返した結果を <name2> に代入する
<name1> = <name2> . rsplit ( <name3> )	<name2> を末尾から <name3> で分割してリストを返した結果を <name1> に代入する
<name5> . rsplit ( <name1> )	<name1> を区切り文字として <name5> を最後から分割してリスト型にして返す
<name1> . rsplit ( <name2> )	<name2> を区切り文字として <name1> を最後から分割してリスト型にして返す
<name4> = <name3> . rsplit ( <name2> )	<name2> を区切り文字として <name3> を末尾から分割してリスト型にして返して、 <name4> にする
<name1> = <name2> . rsplit ( <name3> )	<name3> を区切り文字として <name2> を末尾から分割してリスト型にして返して、 <name1> にする
<name1> = <name3> . rsplit ( <name5> )	<name5> を区切り文字として <name3> を末尾から分割してリスト型にして返した結果を <name1> に代入する
<name1> = <name2> . rsplit ( <name3> )	<name3> を区切り文字として <name2> を末尾から分割してリスト型にして返した結果を <name1> に代入する
<name4> . rsplit ( <name5> , <val6> )	<name4> を末尾から <name5> で最大分割数 <val6> まで分割した文字列のリスト
<name1> . rsplit ( <name2> , <val3> )	<name1> を末尾から <name2> で最大分割数 <val3> まで分割した文字列のリスト
<name3> = <name1> . rsplit ( <name5> , <val4> )	<name1> を最後から <name5> で最大分割数 <val4> まで分割した文字列のリストを <name3> に代入する
<name1> = <name2> . rsplit ( <name3> , <val4> )	<name2> を最後から <name3> で最大分割数 <val4> まで分割した文字列のリストを <name1> に代入する
<name1> . rsplit ( <name2> , <val5> )	<name1> を末尾から <name2> で最大分割数 <val5> まで分割してリストを返す
<name1> . rsplit ( <name2> , <val3> )	<name1> を末尾から <name2> で最大分割数 <val3> まで分割してリストを返す
<name1> = <name2> . rsplit ( <name4> , <val6> )	<name2> を最後から <name4> で最大分割数 <val6> まで分割してリストを返して、 <name1> に代入する
<name1> = <name2> . rsplit ( <name3> , <val4> )	<name2> を最後から <name3> で最大分割数 <val4> まで分割してリストを返して、 <name1> に代入する
<name2> = <name1> . rsplit ( <name3> , <val6> )	<name1> を最後から <name3> で最大分割数 <val6> まで分割してリストを返した結果を <name2> にする
<name1> = <name2> . rsplit ( <name3> , <val4> )	<name2> を最後から <name3> で最大分割数 <val4> まで分割してリストを返した結果を <name1> にする
<name6> . rsplit ( <name4> , <val1> )	<name4> を区切り文字、最大分割数を <val1> として <name6> を最後から分割してリスト型にして返す
<name1> . rsplit ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として <name1> を最後から分割してリスト型にして返す
<name1> = <name4> . rsplit ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として <name4> を最後から分割してリスト型にして返して、 <name1> に代入する
<name1> = <name2> . rsplit ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> を最後から分割してリスト型にして返して、 <name1> に代入する
<name4> = <name2> . rsplit ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> として <name2> を最後から分割してリスト型にして返された結果を <name4> に代入する
<name1> = <name2> . rsplit ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として <name2> を最後から分割してリスト型にして返された結果を <name1> に代入する
<name3> . replace ( <name5> , <name1> )	<name3> 内の <name5> を <name1> に置き換えた文字列
<name1> . replace ( <name2> , <name3> )	<name1> 内の <name2> を <name3> に置き換えた文字列
<name2> = <name3> . replace ( <name6> , <name5> )	<name3> 内の <name6> を <name5> に置き換えた文字列を <name2> とする
<name1> = <name2> . replace ( <name3> , <name4> )	<name2> 内の <name3> を <name4> に置き換えた文字列を <name1> とする
<name5> . strip ( )	<name5> の両端から空白改行を除いた文字列
<name1> . strip ( )	<name1> の両端から空白改行を除いた文字列
<name3> = <name5> . strip ( )	<name5> の両端から空白改行を抜いた文字列を <name3> にする
<name1> = <name2> . strip ( )	<name2> の両端から空白改行を抜いた文字列を <name1> にする
<name2> . strip ( <val4> )	<name2> の両端から <val4> を取り除いた文字列
<name1> . strip ( <val2> )	<name1> の両端から <val2> を取り除いた文字列
<name2> = <name3> . strip ( <val6> )	<name3> の両端から <val6> を抜いた文字列を <name2> にする
<name1> = <name2> . strip ( <val3> )	<name2> の両端から <val3> を抜いた文字列を <name1> にする
<name5> . lstrip ( )	<name5> の左側から空白改行を取り除いた文字列
<name1> . lstrip ( )	<name1> の左側から空白改行を取り除いた文字列
<name2> = <name5> . lstrip ( )	<name5> の先頭から空白改行を取り除いた文字列を <name2> に代入する
<name1> = <name2> . lstrip ( )	<name2> の先頭から空白改行を取り除いた文字列を <name1> に代入する
<name6> . lstrip ( <val4> )	<name6> の左側から <val4> を取り除いた文字列
<name1> . lstrip ( <val2> )	<name1> の左側から <val2> を取り除いた文字列
<name1> = <name3> . lstrip ( <val6> )	<name3> の先頭から <val6> を取り除いた文字列を <name1> に代入する
<name1> = <name2> . lstrip ( <val3> )	<name2> の先頭から <val3> を取り除いた文字列を <name1> に代入する
<name4> . rstrip ( )	<name4> の終わりから空白改行を取り除いた文字列
<name1> . rstrip ( )	<name1> の終わりから空白改行を取り除いた文字列
<name3> = <name2> . rstrip ( )	<name2> の最後から空白改行を取り除いた文字列を <name3> に代入する
<name1> = <name2> . rstrip ( )	<name2> の最後から空白改行を取り除いた文字列を <name1> に代入する
<name3> . rstrip ( <val4> )	<name3> の後ろから <val4> を取り除いた文字
<name1> . rstrip ( <val2> )	<name1> の後ろから <val2> を取り除いた文字
<name4> = <name2> . rstrip ( <val5> )	<name2> の終わりから <val5> を取り除いた文字を <name4> にする
<name1> = <name2> . rstrip ( <val3> )	<name2> の終わりから <val3> を取り除いた文字を <name1> にする
<name2> . zfill ( <name3> )	<name2> を長さが <name3> になるように左を '0' で埋めた文字列
<name1> . zfill ( <name2> )	<name1> を長さが <name2> になるように左を '0' で埋めた文字列
<name4> = <name3> . zfill ( <name2> )	<name3> を長さが <name2> になるように左を '0' で埋めた文字列を <name4> とする
<name1> = <name2> . zfill ( <name3> )	<name2> を長さが <name3> になるように左を '0' で埋めた文字列を <name1> とする
<name6> . zfill ( <name1> )	<name6> を長さが <name1> になるように '0' で右寄せした文字列
<name1> . zfill ( <name2> )	<name1> を長さが <name2> になるように '0' で右寄せした文字列
<name6> = <name2> . zfill ( <name4> )	<name2> を長さが <name4> になるように '0' で右寄せした文字列を <name6> にする
<name1> = <name2> . zfill ( <name3> )	<name2> を長さが <name3> になるように '0' で右寄せした文字列を <name1> にする
<name6> . capitalize ( )	<name6> の先頭を英大文字、残りを全て英小文字にした文字列
<name1> . capitalize ( )	<name1> の先頭を英大文字、残りを全て英小文字にした文字列
<name3> = <name1> . capitalize ( )	<name1> の最初を英大文字、残りを全て英小文字に変換した文字列を <name3> に代入する
<name1> = <name2> . capitalize ( )	<name2> の最初を英大文字、残りを全て英小文字に変換した文字列を <name1> に代入する
<name5> . strswap ( )	<name5> の英大小文字を逆にした文字列
<name1> . strswap ( )	<name1> の英大小文字を逆にした文字列
<name4> = <name2> . strswap ( )	<name2> の英大小文字を逆にした文字列を <name4> とする
<name1> = <name2> . strswap ( )	<name2> の英大小文字を逆にした文字列を <name1> とする
<name3> . strswap ( )	<name3> の英大文字と英小文字を逆にした文字列
<name1> . strswap ( )	<name1> の英大文字と英小文字を逆にした文字列
<name3> = <name1> . strswap ( )	<name1> の英大文字と英小文字を交換した文字列を <name3> に代入する
<name1> = <name2> . strswap ( )	<name2> の英大文字と英小文字を交換した文字列を <name1> に代入する
<name2> . find ( <val4> )	<name2> の最初から <val4> を探して見つかった位置
<name1> . find ( <val2> )	<name1> の最初から <val2> を探して見つかった位置
<name3> = <name1> . find ( <val5> )	<name1> の最初から <val5> を探して見つかった位置を <name3> とする
<name1> = <name2> . find ( <val3> )	<name2> の最初から <val3> を探して見つかった位置を <name1> とする
<name6> . find ( <val5> )	<name6> 内の <val5> がある位置
<name1> . find ( <val2> )	<name1> 内の <val2> がある位置
<name3> = <name6> . find ( <val1> )	<name6> 内の <val1> がある位置を <name3> にする
<name1> = <name2> . find ( <val3> )	<name2> 内の <val3> がある位置を <name1> にする
<name2> . find ( <val5> , <val3> )	<name2> の <val3> 番目から <val5> を探して見つかった位置
<name1> . find ( <val2> , <val3> )	<name1> の <val3> 番目から <val2> を探して見つかった位置
<name1> = <name4> . find ( <val5> , <val3> )	<name4> の <val3> 番目から <val5> を探して見つかった位置を <name1> にする
<name1> = <name2> . find ( <val3> , <val4> )	<name2> の <val4> 番目から <val3> を探して見つかった位置を <name1> にする
<name1> . find ( <val3> , <val6> )	<name1> 内の <val6> 番目以降に <val3> がある位置
<name1> . find ( <val2> , <val3> )	<name1> 内の <val3> 番目以降に <val2> がある位置
<name1> = <name3> . find ( <val4> , <val2> )	<name3> 内の <val2> 番目以降に <val4> がある位置を <name1> に代入する
<name1> = <name2> . find ( <val3> , <val4> )	<name2> 内の <val4> 番目以降に <val3> がある位置を <name1> に代入する
<name5> . find ( <val4> , <val3> , <val2> )	<name5> の <val3> 番目から <val2> 番目の間で <val4> を探して見つかった位置
<name1> . find ( <val2> , <val3> , <val4> )	<name1> の <val3> 番目から <val4> 番目の間で <val2> を探して見つかった位置
<name3> = <name1> . find ( <val2> , <val4> , <val5> )	<name1> の <val4> 番目から <val5> 番目の間で <val2> を探して見つかった位置を <name3> にする
<name1> = <name2> . find ( <val3> , <val4> , <val5> )	<name2> の <val4> 番目から <val5> 番目の間で <val3> を探して見つかった位置を <name1> にする
<name5> . find ( <val1> , <val4> , <val2> )	<name5> 内の <val4> 番目から <val2> 番目に <val1> がある位置
<name1> . find ( <val2> , <val3> , <val4> )	<name1> 内の <val3> 番目から <val4> 番目に <val2> がある位置
<name4> = <name2> . find ( <val1> , <val6> , <val5> )	<name2> 内の <val6> 番目から <val5> 番目に <val1> がある位置を <name4> とする
<name1> = <name2> . find ( <val3> , <val4> , <val5> )	<name2> 内の <val4> 番目から <val5> 番目に <val3> がある位置を <name1> とする
<name3> . rfind ( <val5> )	<name3> の後ろから <val5> を探して見つかった位置
<name1> . rfind ( <val2> )	<name1> の後ろから <val2> を探して見つかった位置
<name4> = <name6> . rfind ( <val1> )	<name6> の後ろから <val1> を探して見つかった位置を <name4> に代入する
<name1> = <name2> . rfind ( <val3> )	<name2> の後ろから <val3> を探して見つかった位置を <name1> に代入する
<name2> . rfind ( <val6> )	<name2> 内の <val6> がある後ろ側の位置
<name1> . rfind ( <val2> )	<name1> 内の <val2> がある後ろ側の位置
<name3> = <name6> . rfind ( <val2> )	<name6> 内の <val2> がある後ろ側の位置を <name3> にする
<name1> = <name2> . rfind ( <val3> )	<name2> 内の <val3> がある後ろ側の位置を <name1> にする
<name4> . rfind ( <val3> , <val2> )	<name4> の <val2> 番目から <val3> を後ろから探して見つかった位置
<name1> . rfind ( <val2> , <val3> )	<name1> の <val3> 番目から <val2> を後ろから探して見つかった位置
<name2> = <name6> . rfind ( <val1> , <val4> )	<name6> の <val4> 番目から <val1> を後ろから探して見つかった位置を <name2> に代入する
<name1> = <name2> . rfind ( <val3> , <val4> )	<name2> の <val4> 番目から <val3> を後ろから探して見つかった位置を <name1> に代入する
<name1> . rfind ( <val3> , <val2> )	<name1> 内の <val2> 番目以降に <val3> がある後ろ側の位置
<name1> . rfind ( <val2> , <val3> )	<name1> 内の <val3> 番目以降に <val2> がある後ろ側の位置
<name1> = <name4> . rfind ( <val3> , <val6> )	<name4> 内の <val6> 番目以降に <val3> がある右側の位置を <name1> に代入する
<name1> = <name2> . rfind ( <val3> , <val4> )	<name2> 内の <val4> 番目以降に <val3> がある右側の位置を <name1> に代入する
<name5> . rfind ( <val4> , <val6> , <val2> )	<name5> の <val6> 番目から <val2> 番目の間で <val4> を後ろから探して見つかった位置
<name1> . rfind ( <val2> , <val3> , <val4> )	<name1> の <val3> 番目から <val4> 番目の間で <val2> を後ろから探して見つかった位置
<name4> = <name3> . rfind ( <val2> , <val6> , <val1> )	<name3> の <val6> 番目から <val1> 番目の間で <val2> を後ろから探して見つかった位置を <name4> とする
<name1> = <name2> . rfind ( <val3> , <val4> , <val5> )	<name2> の <val4> 番目から <val5> 番目の間で <val3> を後ろから探して見つかった位置を <name1> とする
<name6> . rfind ( <val1> , <val4> , <val3> )	<name6> 内の <val4> 番目から <val3> 番目に <val1> がある右側の位置
<name1> . rfind ( <val2> , <val3> , <val4> )	<name1> 内の <val3> 番目から <val4> 番目に <val2> がある右側の位置
<name5> = <name6> . rfind ( <val3> , <val4> , <val1> )	<name6> 内の <val4> 番目から <val1> 番目に <val3> がある後ろ側の位置を <name5> にする
<name1> = <name2> . rfind ( <val3> , <val4> , <val5> )	<name2> 内の <val4> 番目から <val5> 番目に <val3> がある後ろ側の位置を <name1> にする
'' . join ( <name2> )	<name2> 内の要素を連結した文字列
'' . join ( <name1> )	<name1> 内の要素を連結した文字列
<name2> = '' . join ( <name1> )	<name1> 内の要素を連結した文字列を <name2> とする
<name1> = '' . join ( <name2> )	<name2> 内の要素を連結した文字列を <name1> とする
<val6> . join ( <name4> )	<val6> を間に入れて <name4> 内の要素を連結した文字列
<val1> . join ( <name2> )	<val1> を間に入れて <name2> 内の要素を連結した文字列
<name2> = <val4> . join ( <name1> )	<val4> を間に入れて <name1> 内の値を連結した文字列を <name2> とする
<name1> = <val2> . join ( <name3> )	<val2> を間に入れて <name3> 内の値を連結した文字列を <name1> とする
<name1> . count ( <name4> )	<name1> 内の <name4> の出現回数
<name1> . count ( <name2> )	<name1> 内の <name2> の出現回数
<name1> . count ( <name6> )	<name1> 内の <name6> の出現回数を見る
<name1> . count ( <name2> )	<name1> 内の <name2> の出現回数を見る
<name6> . startswith ( <name5> )	<name6> の先頭が <name5> で始まる{かどうか}
<name1> . startswith ( <name2> )	<name1> の先頭が <name2> で始まる{かどうか}
if <name6> . startswith ( <name5> ) :	もし <name6> の先頭が <name5> で始まる{かどうか}なら
if <name1> . startswith ( <name2> ) :	もし <name1> の先頭が <name2> で始まる{かどうか}なら
<name6> . startswith ( <name5> )	<name6> が <name5> で始まるかどうか
<name1> . startswith ( <name2> )	<name1> が <name2> で始まるかどうか
if <name2> . startswith ( <name3> ) :	<name2> が <name3> で始まるなら
if <name1> . startswith ( <name2> ) :	<name1> が <name2> で始まるなら
<name3> . startswith ( <name5> , <val2> )	<name3> の <val2> 番目が <name5> で始まる{かどうか}
<name1> . startswith ( <name2> , <val3> )	<name1> の <val3> 番目が <name2> で始まる{かどうか}
if <name3> . startswith ( <name5> , <val1> ) :	もし <name3> の <val1> 番目が <name5> で始まる{かどうか}のとき
if <name1> . startswith ( <name2> , <val3> ) :	もし <name1> の <val3> 番目が <name2> で始まる{かどうか}のとき
<name2> . endswith ( <name3> )	<name2> の後ろが <name3> で終わるかどうか
<name1> . endswith ( <name2> )	<name1> の後ろが <name2> で終わるかどうか
if <name1> . endswith ( <name2> ) :	<name1> の末尾が <name2> で終わるならば
<name6> . endswith ( <name1> )	<name6> の後ろが <name1> であるかどうか
<name1> . endswith ( <name2> )	<name1> の後ろが <name2> であるかどうか
if <name4> . endswith ( <name6> ) :	もし <name4> の末尾が <name6> であるのとき
if <name1> . endswith ( <name2> ) :	もし <name1> の末尾が <name2> であるのとき
<name6> . endswith ( <name5> , <val3> )	<name6> の <val3> 番目が <name5> で終わるかどうか
<name1> . endswith ( <name2> , <val3> )	<name1> の <val3> 番目が <name2> で終わるかどうか
if <name1> . endswith ( <name6> , <val5> ) :	もし <name1> の <val5> 番目が <name6> で終わるの場合
if <name1> . endswith ( <name2> , <val3> ) :	もし <name1> の <val3> 番目が <name2> で終わるの場合
<name4> . isupper ( )	<name4> が英大文字かどうか
<name1> . isupper ( )	<name1> が英大文字かどうか
if <name2> . isupper ( ) :	もし <name2> が英大文字のとき
if <name1> . isupper ( ) :	もし <name1> が英大文字のとき
<name4> . isupper ( )	<name4> 中の全ての文字が英大文字かどうか
<name1> . isupper ( )	<name1> 中の全ての文字が英大文字かどうか
if <name1> . isupper ( ) :	もし <name1> 中の全ての文字が英大文字のとき
<name1> . isupper ( )	<name1> 中の全ての英字が大文字かどうか
if <name4> . isupper ( ) :	もし <name4> 中の全ての英字が大文字ならば
if <name1> . isupper ( ) :	もし <name1> 中の全ての英字が大文字ならば
<name3> . isupper ( )	<name3> 中の英字全てが大文字かどうか
<name1> . isupper ( )	<name1> 中の英字全てが大文字かどうか
if <name5> . isupper ( ) :	もし <name5> 中の英字全てが大文字ならば
if <name1> . isupper ( ) :	もし <name1> 中の英字全てが大文字ならば
<name6> . islower ( )	<name6> が英小文字かどうか
<name1> . islower ( )	<name1> が英小文字かどうか
if <name4> . islower ( ) :	もし <name4> が英小文字のとき
if <name1> . islower ( ) :	もし <name1> が英小文字のとき
<name1> . islower ( )	<name1> 中の全ての文字が英小文字かどうか
if <name4> . islower ( ) :	もし <name4> 中の全ての文字が英小文字の場合
if <name1> . islower ( ) :	もし <name1> 中の全ての文字が英小文字の場合
<name3> . islower ( )	<name3> 中の全ての英字が小文字かどうか
<name1> . islower ( )	<name1> 中の全ての英字が小文字かどうか
if <name6> . islower ( ) :	もし <name6> 中の全ての英字が小文字ならば
if <name1> . islower ( ) :	もし <name1> 中の全ての英字が小文字ならば
<name6> . islower ( )	<name6> 中の英字全てが小文字かどうか
<name1> . islower ( )	<name1> 中の英字全てが小文字かどうか
if <name4> . islower ( ) :	もし <name4> 中の英字全てが小文字の場合
if <name1> . islower ( ) :	もし <name1> 中の英字全てが小文字の場合
<name2> . isdigit ( )	<name2> が数字かどうか
<name1> . isdigit ( )	<name1> が数字かどうか
if <name6> . isdigit ( ) :	もし <name6> が数字ならば
if <name1> . isdigit ( ) :	もし <name1> が数字ならば
<name2> . isdigit ( )	<name2> 中の全ての文字が数字かどうか
<name1> . isdigit ( )	<name1> 中の全ての文字が数字かどうか
if <name4> . isdigit ( ) :	<name4> 中の全ての文字が数字なら
if <name1> . isdigit ( ) :	<name1> 中の全ての文字が数字なら
<name1> . isdigit ( )	<name1> 全てが数字かどうか
if <name1> . isdigit ( ) :	もし <name1> 全てが数字の場合
<name6> . isdigit ( )	<name6> が数字であるかどうか
<name1> . isdigit ( )	<name1> が数字であるかどうか
if <name5> . isdigit ( ) :	もし <name5> が数字であるなら
if <name1> . isdigit ( ) :	もし <name1> が数字であるなら
<name5> . isalpha ( )	<name5> が全てアルファベットかどうか
<name1> . isalpha ( )	<name1> が全てアルファベットかどうか
if <name1> . isalpha ( ) :	もし <name1> が全てアルファベットならば
<name5> . isalnum ( )	<name5> が全て英数字かどうか
<name1> . isalnum ( )	<name1> が全て英数字かどうか
if <name6> . isalnum ( ) :	もし <name6> が全て英数字のとき
if <name1> . isalnum ( ) :	もし <name1> が全て英数字のとき
<name3> . isascii ( )	<name3> が全て ASCII 文字かどうか
<name1> . isascii ( )	<name1> が全て ASCII 文字かどうか
if <name4> . isascii ( ) :	もし <name4> が全て ASCII 文字なら
if <name1> . isascii ( ) :	もし <name1> が全て ASCII 文字なら
<name1> . isdecimal ( )	<name1> が全て数字かどうか
if <name5> . isdecimal ( ) :	もし <name5> が全て数字ならば
if <name1> . isdecimal ( ) :	もし <name1> が全て数字ならば
<name2> . isnumeric ( )	<name2> が全て数字かどうか
<name1> . isnumeric ( )	<name1> が全て数字かどうか
if <name6> . isnumeric ( ) :	もし <name6> が全て数字ならば
if <name1> . isnumeric ( ) :	もし <name1> が全て数字ならば
<name5> . isidentifier ( )	<name5> が識別子として利用可能かどうか
<name1> . isidentifier ( )	<name1> が識別子として利用可能かどうか
if <name5> . isidentifier ( ) :	もし <name5> が識別子として利用可能なら
if <name1> . isidentifier ( ) :	もし <name1> が識別子として利用可能なら
<name4> . isprintable ( )	<name4> が印字可能かどうか
<name1> . isprintable ( )	<name1> が印字可能かどうか
if <name2> . isprintable ( ) :	もし <name2> が印字可能なら
if <name1> . isprintable ( ) :	もし <name1> が印字可能なら
set ( )	空のセット
<name2> = set ( )	空の集合を <name2> に代入する
<name1> = set ( )	空の集合を <name1> に代入する
set ( )	空集合
<name2> = set ( )	空集合を <name2> に代入する
<name1> = set ( )	空集合を <name1> に代入する
set ( <name4> )	<name4> のセット
set ( <name1> )	<name1> のセット
<name4> = set ( <name6> )	<name6> の集合を <name4> とする
<name1> = set ( <name2> )	<name2> の集合を <name1> とする
<name3> . add ( <val5> )	<name3> に <val5> を追加する
<name1> . add ( <val2> )	<name1> に <val2> を追加する
<name1> . remove ( <val4> )	<name1> から <val4> を取り除く
<name1> . remove ( <val2> )	<name1> から <val2> を取り除く
<name1> . union ( <name3> )	<name1> と <name3> の和集合
<name1> . union ( <name2> )	<name1> と <name2> の和集合
<name1> . union ( <name4> )	<name1> と <name4> の和集合を計算する
<name1> . union ( <name2> )	<name1> と <name2> の和集合を計算する
<name5> . union ( <name2> )	<name5> と <name2> の和集合を抽出する
<name1> . union ( <name2> )	<name1> と <name2> の和集合を抽出する
<name4> . intersection ( <name3> )	<name4> と <name3> の積集合
<name1> . intersection ( <name2> )	<name1> と <name2> の積集合
<name2> . intersection ( <name3> )	<name2> と <name3> の積集合を算出する
<name1> . intersection ( <name2> )	<name1> と <name2> の積集合を算出する
<name6> . intersection ( <name3> )	<name6> と <name3> の積集合を得る
<name1> . intersection ( <name2> )	<name1> と <name2> の積集合を得る
<name5> . intersection ( <name2> )	<name5> と <name2> の積集合
<name1> . intersection ( <name2> )	<name1> と <name2> の積集合
<name1> . intersection ( <name6> )	<name1> と <name6> の共通部分を求める
<name1> . intersection ( <name2> )	<name1> と <name2> の共通部分を求める
<name1> . intersection ( <name2> )	<name1> と <name2> の共通部分を得る
<name2> . difference ( <name1> )	<name2> と <name1> の差集合
